"","ID","title","description","streetaddress","type","amenityfeatures","city","state","Year","lat","lon","categories","cruisy"
"13086","3214","Kiss","","60 Lake Shore Rd.","Bars/Clubs","(L)","Lake Ronkonnoma","NY",1982,40.8216997,-73.1181919,"Bars","FALSE"
"13087","3491","Kiss","","60 Lake Shore Rd.","Bars/Clubs","(L)","Lake Ronkonkoma, L.I.","NY",1983,40.8216997,-73.1181919,"Bars","FALSE"
"13088","3556","Kiss","","60 Lake Shore Rd.","Bars/Clubs","(L)","Lake Ronkonkoma","NY",1984,40.8216997,-73.1181919,"Bars","FALSE"
"13089","3813","Kiss","","60 Lake Shore Rd.","Bars/Clubs","(L)","Lake Ronkonkoma","NY",1985,40.8216997,-73.1181919,"Bars","FALSE"
"13121","3259","Klub","(Disco)","227 Bleecker St.","Bars/Clubs","(L),(D)","Greenwich Village & Chelsea","NY",1982,40.7295864,-74.0020116,"Bars","FALSE"
"13122","2014","Klub (Disco) 227 Bleecker St.","(Disco)","227 Bleecker St.","Bars/Clubs","(D),(L)","Greenwich Village","NY",1981,40.7295864,-74.0020116,"Bars","FALSE"
"13206","3764","L.A. Saloon","(Sun. brunch)(Looks promising)","48 Lake Ave.","Restaurant","(R),(PT)","Rochester","NY",1983,43.1656334,-77.6236979,"Restaurants","FALSE"
"13207","3801","L.A. Saloon","(Sun. brunch","48 Lake Ave.","Restaurant","(R),(PT)","Rochester","NY",1984,43.1656334,-77.6236979,"Restaurants","FALSE"
"13208","4037","L.A. Saloon","(Sun. brunch)(Some L)","48 Lake Ave.","Restaurant","(R),(PT),(L)","Rochester","NY",1985,43.1656334,-77.6236979,"Restaurants","FALSE"
"13252","3685","La Cage Aux Folles","","334 E. 73rd St.","Bars/Clubs","(E)","Uptown","NY",1983,40.7686442,-73.9562664,"Bars","FALSE"
"13263","2096","La Fiesta","(Some Latins, hustlers)","253 W. 46th St.","Bars/Clubs","(PT)","Midtown","NY",1981,40.7597942,-73.9874659,"Bars","FALSE"
"13264","3341","La Fiesta","(Some Latins, hustlers)","253 W. 46th St.","Bars/Clubs","(PT)","Midtown","NY",1982,40.7597942,-73.9874659,"Bars","FALSE"
"13265","3641","La Fiesta","(Some Latins, hustlers)","253 W. 46th St.","Bars/Clubs","(PT)","Midtown","NY",1983,40.7597942,-73.9874659,"Bars","FALSE"
"13266","3688","La Fiesta","(Some Latins, hustlers)","253 W. 46th St.","Bars/Clubs","(PT)","Midtown","NY",1984,40.7597942,-73.9874659,"Bars","FALSE"
"13267","3925","La Fiesta","(Some Latins, Hustlers)","253 w. 46th St.","Bars/Clubs","(PT)","Midtown","NY",1985,40.7597942,-73.9874659,"Bars","FALSE"
"13280","3643","La Palma","(Latins)","343 W. 46th St.","Restaurant","(R),(*)","Midtown","NY",1983,40.7606004,-73.9895076,"Restaurants","FALSE"
"13281","3690","La Palma","(Latins)","343 W . 46th St.","Restaurant","(R)","Midtown","NY",1984,40.7606004,-73.9895076,"Restaurants","FALSE"
"13306","3453","La Rowe's Zoo","(Some YC, L)","79 Main St.","Bars/Clubs","(YC),(L),(D),(E),(PT)","Cortland","NY",1983,42.598666,-76.1799815,"Bars","FALSE"
"13313","3515","La Salla Park","","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1984,42.888675,-78.890913,"Cruising Areas","TRUE"
"13317","1915","La Salle Park","","","Cruising Areas","Cruisy Area","Buffalo","NY",1981,42.888675,-78.890913,"Cruising Areas","TRUE"
"13318","3168","La Salle Park","(AYOR)","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1982,42.888675,-78.890913,"Cruising Areas","TRUE"
"13319","3445","La Salle Park","","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1983,42.888675,-78.890913,"Cruising Areas","TRUE"
"13320","3760","La Salle Park","","","Cruising Areas","Cruisy Area,(AYOR)","Buffalo","NY",1985,42.888675,-78.890913,"Cruising Areas","TRUE"
"13322","2098","La Stanza","(Italian R)","953 1st Ave.","Restaurant","(R)","Midtown","NY",1981,40.7555229,-73.9652909,"Restaurants","FALSE"
"13323","3344","La Stanza","(Italian R)","953 1st. Ave.","Restaurant","(*)","Midtown","NY",1982,40.7555229,-73.9652909,"Restaurants","FALSE"
"13324","3644","La Stanza","(Italian R)","953 1st Ave.","Restaurant","(R),(*)","Midtown","NY",1983,40.7555229,-73.9652909,"Restaurants","FALSE"
"13325","3691","La Stanza","(Italian R)","953 1st Ave.","Restaurant","(R),(*)","Midtown","NY",1984,40.7555229,-73.9652909,"Restaurants","FALSE"
"13326","3927","La Stanza","(Italian R)","953 1st Ave.","Restaurant","(R),(*)","Midtown","NY",1985,40.7555229,-73.9652909,"Restaurants","FALSE"
"13379","4008","LaGuardia Airport","(T-Room nr. TWA baggage claim)","","Cruising Areas","Cruisy Area","Queens","NY",1985,40.776927,-73.873966,"Cruising Areas","TRUE"
"13418","1962","Lake Placid Club Resort","promenade -best late afternoons","","Cruising Areas","Cruisy Area","Lake Placid","NY",1981,44.28202,-73.966193,"Cruising Areas","TRUE"
"13529","3342","Landmark Tavern","","11th Ave. at 46th St.","Restaurant","(M),(R)","Midtown","NY",1982,40.639377,-73.994787,"Restaurants","FALSE"
"13532","1882","Lark, State & Willet Sts.","nr. Washington Park","","Cruising Areas","Cruisy Area","Albany","NY",1981,42.659254,-73.776606,"Cruising Areas","TRUE"
"13533","3138","Lark, State & Willet Sts.","(nr. Washington Park)","","Cruising Areas","Cruisy Area","Albany","NY",1982,42.659254,-73.776606,"Cruising Areas","TRUE"
"13534","3412","Lark, State & Willet Sts.","nr. Washington Park","","Cruising Areas","Cruisy Area","Albany","NY",1983,42.659254,-73.776606,"Cruising Areas","TRUE"
"13535","3483","Lark, State & Willet Sts.","nr. Washington Park","","Cruising Areas","Cruisy Area,(AYOR)","Albany","NY",1984,42.659254,-73.776606,"Cruising Areas","TRUE"
"13536","3723","Lark, State & Willet Sts.","(nr. Washington Park)","","Cruising Areas","Cruisy Area,(AYOR)","Albany","NY",1985,42.659254,-73.776606,"Cruising Areas","TRUE"
"13550","2097","Last Call","nr. 51st St.","975 2nd Ave.","Bars/Clubs","(PT),(D),(*)","Midtown","NY",1981,40.756013,-73.9680596,"Bars","FALSE"
"13551","3343","Last Call","","975 2nd Ave, nr. 51st St.","Bars/Clubs","(D),(PT),(*)","Midtown","NY",1982,40.756013,-73.96806,"Bars","FALSE"
"13552","3642","Last Call","nr. 51st St.","975 2nd Ave.","Bars/Clubs","(D),(PT),(*)","Midtown","NY",1983,40.756013,-73.9680596,"Bars","FALSE"
"13553","3689","Last Call","","975 2nd Ave, nr. 51st St.","Bars/Clubs","(D),(PT),(*)","Midtown","NY",1984,40.756013,-73.96806,"Bars","FALSE"
"13554","3926","Last Call","(nr. 51st St.)","975 2nd Ave.","Bars/Clubs","(D),(PT),(*)","Midtown","NY",1985,40.756013,-73.96806,"Bars","FALSE"
"13560","3542","Last Resort","","153 1st Ave.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1983,40.7285656,-73.9849153,"Bars","FALSE"
"13561","3600","Last Resort","","153 1st Ave.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1984,40.7285656,-73.9849153,"Bars","FALSE"
"13562","3854","Last Resort","","153 1st Ave.","Bars/Clubs","","Greenwich Village","NY",1985,40.7285656,-73.9849153,"Bars","FALSE"
"13568","3716","Last Straw","(No booze)","92 Central Ave.","Bars/Clubs","(PT),(AH),(WE),(*)","Albany","NY",1985,42.6594143,-73.7668041,"Bars","FALSE"
"13584","2248","Laurel Tree","(Some L)","210 Hawley","Bars/Clubs","(M),(L)","Syracuse","NY",1981,43.0531179,-76.1431159,"Bars","FALSE"
"13585","3489","Laurel Tree","(Disco) (2 floors)","210 Hawley","Bars/Clubs","(L),(D),(*)","Syracuse","NY",1982,43.0531179,-76.1431159,"Bars","FALSE"
"13586","3793","Laurel Tree","(Disco)(2 floors)","210 Hawley","Bars/Clubs","(L),(D),(*)","Syracuse","NY",1983,43.0531179,-76.1431159,"Bars","FALSE"
"13587","3825","Laurel Tree","(Disco) (2 floors)","210 Hawley","Bars/Clubs","(L),(D),(*)","Syracuse","NY",1984,43.0531179,-76.1431159,"Bars","FALSE"
"13588","4060","Laurel Tree","(Disco)(2 floors)","210 Hawley","Bars/Clubs","(L),(D),(*)","Syracuse","NY",1985,43.0531179,-76.1431159,"Bars","FALSE"
"13609","3928","Le Bar","(Some Hustlers)","243 E. 53rd St.","Bars/Clubs","(*)","Midtown","NY",1985,40.7572336,-73.9676942,"Bars","FALSE"
"13611","3735","Le Bar","(Holiday Inn)","8 Hawley St.","Bars/Clubs","(M),(WE)","Binghamton","NY",1985,42.0981865,-75.9146247,"Bars","FALSE"
"13669","3717","Le Most","(Cards & novelties)","Lancaster & Lark","Business","","Albany","NY",1985,42.654775,-73.765315,"Businesses","FALSE"
"13670","2249","Le Paris Bookstore","","307 W. Fayette","Book Store","","Syracuse","NY",1981,43.048584,-76.1558199,"Businesses","FALSE"
"13671","3490","Le Paris Bookstore","","307 W. Fayette","Book Store","","Syracuse","NY",1982,43.048584,-76.1558199,"Businesses","FALSE"
"13672","3794","Le Paris Bookstore","","307 W. Fayette","Book Store","","Syracuse","NY",1983,43.048584,-76.1558199,"Businesses","FALSE"
"13673","3826","Le Paris Bookstore","","307 W. Fayette","Book Store","","Syracuse","NY",1984,43.048584,-76.1558199,"Businesses","FALSE"
"13674","4061","Le Paris Bookstore","","307 W. Fayette","Book Store","","Syracuse","NY",1985,43.048584,-76.1558199,"Businesses","FALSE"
"13676","3390","Le Pecheur","(French R)","200 W. 70th St.","Restaurant","(M)","Uptown","NY",1982,40.7773637,-73.9830336,"Restaurants","FALSE"
"13688","3686","Le Salon","(Books, etc.)","287 Amsterdam Ave.","Book Store","(*)","Uptown","NY",1983,40.7795883,-73.9805874,"Businesses","FALSE"
"13691","2144","Le Salon Book Store","","287 Amsterdam","Book Store","","Uptown","NY",1981,40.8088612,-73.9592644,"Businesses","FALSE"
"13694","3729","Le Salon Book Store","","287 Amsterdam Ave.","Book Store","(*)","Uptown","NY",1984,40.7795883,-73.9805874,"Businesses","FALSE"
"13697","3961","Le Salon Book Store","","287 Amsterdam Ave.","Book Store","","Uptown","NY",1985,40.7795883,-73.9805874,"Businesses","FALSE"
"13729","2143","Leather Loft","(Gay dept, store - jewelry, clothes, etc.)","313 Amsterdam Ave.","Business","(*)","Uptown","NY",1981,40.7802967,-73.980157,"Businesses","FALSE"
"13731","2017","Leather Man","(Clothes, books, leather, 'toys', etc.)","111 Christopher St.","Book Store,Erotic Shop","(*)","Greenwich Village","NY",1981,40.7334188,-74.0052521,"Businesses","FALSE"
"13732","2016","Leather Man","(Clothes, books, leather, 'toys', etc.)","85 Christopher St.","Book Store,Erotic Shop","(*)","Greenwich Village","NY",1981,40.7336419,-74.0038693,"Businesses","FALSE"
"13733","3261","Leather Man","(Clothes, books leather, 'toys', etc.)","85 & 111 Christopher St.","Erotic Shop,Book Store","(*)","Greenwich Village","NY",1982,40.733642,-74.003869,"Businesses","FALSE"
"13734","3543","Leather Man","(Clothes, books, leather, 'toys', etc.)","85 & 111 Christopher St.","Book Store,Erotic Shop","","Greenwich Village","NY",1983,40.733642,-74.003869,"Businesses","FALSE"
"13735","3601","Leather Man","(Clothes, books, leather, 'toys', etc.)","85 & 111 Christopher St.","Erotic Shop,Book Store","(*)","Greenwich Village","NY",1984,40.733642,-74.003869,"Businesses","FALSE"
"13736","3855","Leather Man","(Clothes, books, leather, 'toys', etc.)","85 & 111 Christopher St.","Book Store,Erotic Shop","(*)","Greenwich Village","NY",1985,40.733642,-74.003869,"Businesses","FALSE"
"13738","2099","Leather Rack","(Leather, books, arcade, etc.)","247 W. 42nd St.","Book Store,Erotic Shop","","Midtown","NY",1981,40.7573371,-73.9888568,"Businesses","FALSE"
"13740","3345","Leather Rack","(Leather, books, arcade, etc.)","247 W. 42nd St.","Erotic Shop,Book Store","","Midtown","NY",1982,40.7573371,-73.9888568,"Businesses","FALSE"
"13789","2015","Legend Gallery","(Adult Boutique)","152 7th Ave. S.","Business","","Greenwich Village","NY",1981,40.7352865,-74.0021248,"Businesses","FALSE"
"13790","3260","Legend Gallery","(Adult Boutique)","152 7th Ave. S.","Erotic Shop","","Greenwich Village & Chelsea","NY",1982,40.7352865,-74.0021248,"Businesses","FALSE"
"13809","1889","Lenny's","(Some YC , L)(Disco)(WE*)","201 State St.","Bars/Clubs","(WE),(D),(YC),(L),(*)","Bellmore","NY",1981,40.6687125,-73.5270709,"Bars","FALSE"
"13810","3144","Lenny's","(Some YC, L) (Disco) (WE*)","201 State St.","Bars/Clubs","(*),(YC),(L),(D),(WE)","Binghamton","NY",1982,42.1018782,-75.9118006,"Bars","FALSE"
"13811","3420","Lenny's","(Some YC, L)(Disco)(WE*)","201 State St.","Bars/Clubs","(*),(YC),(L),(D),(WE)","Binghamton","NY",1983,42.1018782,-75.9118006,"Bars","FALSE"
"13812","3493","Lenny's","(Some YC, L) (Disco) (WE*)","201 State St.","Bars/Clubs","(*),(YC),(L),(D),(WE)","Binghamton","NY",1984,42.1018782,-75.9118006,"Bars","FALSE"
"13813","3736","Lenny's","(Some YC,L)(Disco)","201 State St.","Bars/Clubs","(*),(YC),(L),(D)","Binghamton","NY",1985,42.1018782,-75.9118006,"Bars","FALSE"
"13839","2145","Les Hommes Book Shop","at Broadway","217 W. 80th St.","Book Store","(*)","Uptown","NY",1981,40.7844536,-73.9786709,"Businesses","FALSE"
"13840","3391","Les Hommes Book Shop","","217 W. 80th St. at Broadway","Book Store","(*)","Uptown","NY",1982,40.784454,-73.978671,"Businesses","FALSE"
"13841","3687","Les Hommes Book Shop","at Broadway","217 W. 80th St.","Book Store","(*)","Uptown","NY",1983,40.7844536,-73.9786709,"Businesses","FALSE"
"13842","3730","Les Hommes Book Shop","","217 W . 80th St. at Broadway","Book Store","(*)","Uptown","NY",1984,40.784454,-73.978671,"Businesses","FALSE"
"13843","3962","Les Hommes Book Shop","","217 W. 80th St. at Broadway","Book Store","(*),(F&S)","Uptown- N.Y.C.","NY",1985,40.784454,-73.978671,"Businesses","FALSE"
"13848","2018","Les Mouches","(Disco) at 24th St.","260 W. 11th Ave.","Bars/Clubs","(P),(YC),(D),(E),(M),(*)","Greenwich Village","NY",1981,40.7360179,-74.0038119,"Bars","FALSE"
"13849","3544","Les Mouches","(Disco)(Very M*) at 24th St.","260 W. 11th Ave.","Bars/Clubs","(P),(YC),(D),(E),(M),(*)","Greenwich Village & Chelsea","NY",1983,40.7360179,-74.0038119,"Bars","FALSE"
"13850","3602","Les Mouches","(Disco) (Very M*)","260 W . 11th Ave. at 24th St.p","Bars/Clubs","(P),(YC),(D),(E),(M),(*)","Greenwich Village","NY",1984,40.736018,-74.003812,"Bars","FALSE"
"13851","3856","Les Mouches","(Disco)(Very M*) (at 24th St. )","260 W. 11th Ave.","Bars/Clubs","(P),(YC),(D),(E),(M),(*)","Greenwich Village","NY",1985,40.736018,-74.003812,"Bars","FALSE"
"13852","3262","Les Mounches","(Disco) (Very M*)","260 W. 11th Ave. at 24th St.","Bars/Clubs","(P),(YC),(D),(E),(M),(*)","Greenwich Village","NY",1982,40.736018,-74.003812,"Bars","FALSE"
"13856","3603","Lesbian Switchboard","(212) 741- 2610","","Hotline","","Greenwich Village","NY",1984,40.733572,-74.002742,"Organizations","FALSE"
"13857","3857","Lesbian Switchboard","(212)741-2610","","Hotline","","Greenwich Village","NY",1985,40.733572,-74.002742,"Organizations","FALSE"
"13958","3748","Lincln Center","","","Cruising Areas","Cruisy Area","Uptown","NY",1984,40.772464,-73.983489,"Cruising Areas","TRUE"
"13959","2162","Lincoln Center","","","Cruising Areas","Cruisy Area","Uptown","NY",1981,40.772464,-73.983489,"Cruising Areas","TRUE"
"13960","3410","Lincoln Center","","","Cruising Areas","Cruisy Area","Uptown","NY",1982,40.772464,-73.983489,"Cruising Areas","TRUE"
"13961","3707","Lincoln Center","","","Cruising Areas","Cruisy Area","Uptown","NY",1983,40.772464,-73.983489,"Cruising Areas","TRUE"
"13962","3978","Lincoln Center","","","Cruising Areas","Cruisy Area","Uptown- N.Y.C.","NY",1985,40.7724,-73.983541,"Cruising Areas","TRUE"
"14036","2019","Little Peter's","(Cabaret) at St. Marks Place","3rd Ave.","Bars/Clubs","(M),(B)","Greenwich Village","NY",1981,40.7612586,-73.9668228,"Bars","FALSE"
"14074","3263","Loading Zone","(Beer & wine) ('Wild back rooms')","78 Christopher St.","Bars/Clubs","(P)","Greenwich Village & Chelsea","NY",1982,40.7334049,-74.0035071,"Bars","FALSE"
"14123","3392","Loft","(Clothes, jewelry, etc.)","313 Amsterdam Ave.","Business","","Uptown","NY",1982,40.7802967,-73.980157,"Businesses","FALSE"
"14126","3688","Loft","(Clothes, jewelry, ect.)","313 Amsterdam Ave.","Business","","Uptown","NY",1983,40.7802967,-73.980157,"Businesses","FALSE"
"14133","3731","Loft","(Clothes, jewelry, ect.)","313 Amsterdam Ave.","Business","","Uptown","NY",1984,40.7802967,-73.980157,"Businesses","FALSE"
"14140","3963","Loft","(Clothes, jewelry, etc. )","313 Amsterdam Ave.","Business","","Uptown","NY",1985,40.7802967,-73.980157,"Businesses","FALSE"
"14191","3545","Long Horn Guest House","(Looks promising) (2nd floor)","135 Greene St.","Hotel","(H)","Greenwich Village & Chelsea","NY",1983,40.7258729,-73.9989112,"Accommodations","FALSE"
"14192","3551","Long Horn Guest House","(Looks promising)(2nd floor)","135 Greene St.","Hotel","(H)","Greenwich Village & Chelsea","NY",1983,40.7258729,-73.9989112,"Accommodations","FALSE"
"14193","3604","Long Horn Guest House","(2nd floor) (212) 533-","","Hotel","(H)","Greenwich Village","NY",1984,40.733572,-74.002742,"Accommodations","FALSE"
"14194","1945","Long Island Railroad Station & Bus Terminal","","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1981,40.712071,-73.624797,"Cruising Areas","TRUE"
"14195","3197","Long Island Railroad Station & Bus Terminal","(AYOR)","","Cruising Areas","(AYOR),Cruisy Area","Hempstead","NY",1982,40.712071,-73.624797,"Cruising Areas","TRUE"
"14196","3476","Long Island Railroad Station & Bus Terminal","","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1983,40.712071,-73.624797,"Cruising Areas","TRUE"
"14197","3541","Long Island Railroad Station & Bus Terminal","","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1984,40.712071,-73.624797,"Cruising Areas","TRUE"
"14198","3793","Long Island Railroad Station & Bus Terminal","","","Cruising Areas","Cruisy Area,(AYOR)","Hempstead","NY",1985,40.712071,-73.624797,"Cruising Areas","TRUE"
"14259","2250","Lost Horizon","","Thompson Rd.","Bars/Clubs","","Syracuse","NY",1981,43.054659,-76.083018,"Bars","FALSE"
"14288","4001","Love Boat Bar","(Elmhurst)","77-02 Broadway","Bars/Clubs","","Queens","NY",1985,40.7451386,-73.8881686,"Bars","FALSE"
"14371","3436","M.C. Compton's","(Disco)","1239 Niagara St.","Bars/Clubs","(L),(D),(*)","Buffalo","NY",1983,42.917559,-78.8989045,"Bars","FALSE"
"14372","3505","M.C. Compton's","(Disco)","1239 Niagara St.","Bars/Clubs","(L),(D)","Buffalo","NY",1984,42.917559,-78.8989045,"Bars","FALSE"
"14373","3752","M.C. Compton's","(Disco)","1239 Niagara St.","Bars/Clubs","(L),(D)","Buffalo","NY",1985,42.917559,-78.8989045,"Bars","FALSE"
"14401","2251","M.C.C.","","819 Madison St.","Religious Institutions","MCC","Syracuse","NY",1981,43.0455771,-76.1349397,"Religious Institutions","FALSE"
"14433","2022","M.C.C.","","26 9th Ave.","Religious Institutions","MCC","Greenwich Village","NY",1981,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14441","3267","M.C.C.","","26 9th Ave.","Religious Institutions","(MCC)","Greenwich Village & Chelsea","NY",1982,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14486","3491","M.C.C.","","819 Madison St.","Religious Institutions","(MCC)","Syracuse","NY",1982,43.0455771,-76.1349397,"Religious Institutions","FALSE"
"14528","3795","M.C.C.","","819 Madison St.","Religious Institutions","(MCC)","Syracuse","NY",1983,43.0455771,-76.1349397,"Religious Institutions","FALSE"
"14544","3556","M.C.C.","","26 9th Ave.","Religious Institutions","(MCC)","Greenwich Village & Chelsea","NY",1983,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14592","3550","M.C.C.","","26 9th Ave.","Religious Institutions","(MCC)","Greenwich Village & Chelsea","NY",1983,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14611","3608","M.C.C.","","26 9th Ave.","Religious Institutions","(MCC)","Greenwich Village & Chelsea","NY",1984,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14668","3827","M.C.C.","","819 Madison St.","Religious Institutions","(MCC)","Syracuse","NY",1984,43.0455771,-76.1349397,"Religious Institutions","FALSE"
"14713","4038","M.C.C.","(Monroe at Rosedale)","","Religious Institutions","(MCC)","Rochester","NY",1985,43.139963,-77.582152,"Religious Institutions","FALSE"
"14737","3860","M.C.C.","","26 9th Ave.","Religious Institutions","(MCC)","Greenwich Village","NY",1985,40.7404474,-74.0054841,"Religious Institutions","FALSE"
"14740","4062","M.C.C.","","819 Madison St.","Religious Institutions","(MCC)","Syracuse","NY",1985,43.0455771,-76.1349397,"Religious Institutions","FALSE"
"14827","3728","M&M Club","","608 Sunrise Hwy.","Bars/Clubs","(L)","Babylon","NY",1985,40.713022,-73.348789,"Bars","FALSE"
"14847","3158","MacArthur's Park","(Disco) (Currently tops)","153 Elmwood","Bars/Clubs","(*),(YC),(D)","Buffalo","NY",1982,42.9010945,-78.8766238,"Bars","FALSE"
"14896","2100","Madison Card & Book Shop","","123 E. 57th St.","Book Store","","Midtown","NY",1981,40.7613431,-73.9698401,"Businesses","FALSE"
"14897","3346","Madison Card & Book Shop","","123 E. 57th St.","Bars/Clubs","","Midtown","NY",1982,40.7613431,-73.9698401,"Bars","FALSE"
"14898","3645","Madison Card & Book Shop","","123 E. 57th St.","Book Store","","Midtown","NY",1983,40.7613431,-73.9698401,"Businesses","FALSE"
"14899","3692","Madison Card & Book Shop","","123 E. 57th St.","Book Store","","Midtown","NY",1984,40.7613431,-73.9698401,"Businesses","FALSE"
"14900","3929","Madison Card & Book Shop","","123 E. 57th St.","Book Store,Business","","Midtown","NY",1985,40.7613431,-73.9698401,"Businesses","FALSE"
"14925","3771","Magic Touch","(Jackson Heights)","73-13 37th Ave.","Bars/Clubs","(D)","Queens","NY",1984,40.7490898,-73.892489,"Bars","FALSE"
"14926","4002","Magic Touch","(Opens 2am)(Jackson Heights)","73-13 37th Ave.","Bars/Clubs","(D),(*)","Queens","NY",1985,40.7490898,-73.892489,"Bars","FALSE"
"14950","1903","Main Chippewa Book Store","","610 Main St.","Book Store","","Buffalo","NY",1981,42.8906129,-78.8730744,"Businesses","FALSE"
"14951","3159","Main Chippewa Book Store","","610 Main St.","Book Store","","Buffalo","NY",1982,42.8906129,-78.8730744,"Businesses","FALSE"
"14996","3264","Main Street","(Frenzy R)","75 Greenwich Ave.","Restaurant","(M),(R)","Greenwich Village & Chelsea","NY",1982,40.7367065,-74.0014332,"Restaurants","FALSE"
"15016","1943","Maison Rouge","","Rte. 9","Bars/Clubs","(D)","Garrison","NY",1981,41.380488,-73.940474,"Bars","FALSE"
"15075","3546","Man Hole","(SM, W )(AH - Mon. - Thur.)","28 9th Ave.","Bars/Clubs","(P),(SM),(W),(AH)","Greenwich Village & Chelsea","NY",1983,40.7402701,-74.0056017,"Bars","FALSE"
"15076","3552","Man Hole","(SM, W)(AH - Mon. - Thur.)","28 9th Ave.","Bars/Clubs","(P),(SM),(W)","Greenwich Village & Chelsea","NY",1983,40.7402701,-74.0056017,"Bars","FALSE"
"15077","3605","Man Hole","(SM, W) (AH - Mon. - Thur.)","28 9th Ave.","Bars/Clubs","(P),(SM),(W),(AH)","Greenwich Village & Chelsea","NY",1984,40.7402701,-74.0056017,"Bars","FALSE"
"15078","3858","Man Hole","(AH Mon.-Thu.)","28 9th Ave.","Bars/Clubs","(P),(SM),(W),(AH)","Greenwich Village","NY",1985,40.7402701,-74.0056017,"Bars","FALSE"
"15080","2020","Man's Country","(Baths)(Gym & Fantasy rooms)","28 W . 15th St.","Bathhouses","(*)","Greenwich Village","NY",1981,40.7371787,-73.9947789,"Bath Houses","FALSE"
"15083","3265","Man's Country","(Baths) (Gym & Fantasy rooms) (Some B)","28 W. 15th St.","Gym,Bathhouses","(B)","Greenwich Village & Chelsea","NY",1982,40.7371787,-73.9947789,"Gyms","FALSE"
"15086","3553","Man's Country","(Baths)(Gym & Fantasy rooms)(Some B)","28 W. 15th St.","Bathhouses","(B)","Greenwich Village & Chelsea","NY",1983,40.7371787,-73.9947789,"Bath Houses","FALSE"
"15087","3547","Man's Country","(Baths)(Gym & Fantasy rooms)(Some B)","28 W. 15th St.","Bathhouses","(B)","Greenwich Village & Chelsea","NY",1983,40.7371787,-73.9947789,"Bath Houses","FALSE"
"15090","3606","Man's Country","(Baths) (Some B)","28 W. 15th St.","Bathhouses","(B)","Greenwich Village & Chelsea","NY",1984,40.7371787,-73.9947789,"Bath Houses","FALSE"
"15116","3548","Maneuvers","betw. 7th & 8th Aves.","23rd St.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1983,40.7453063,-73.9984746,"Bars","FALSE"
"15117","3554","Maneuvers","betw. 7th & 8th Aves.","23rd St.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1983,40.7453063,-73.9984746,"Bars","FALSE"
"15135","4003","Manhattan","(Jackson Heights)","76-13 Roosevelt Ave.","Bars/Clubs","","Queens","NY",1985,40.7472842,-73.8890841,"Bars","FALSE"
"15137","3474","Manhattan Square Park","(AYOR)","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1982,43.153475,-77.601744,"Cruising Areas","TRUE"
"15138","3778","Manhattan Square Park","(Note: All should be visited strictly AYOR)","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1983,43.153475,-77.601744,"Cruising Areas","TRUE"
"15139","3812","Manhattan Square Park","","","Cruising Areas","Cruisy Area,(AYOR)","Rochester","NY",1984,43.153475,-77.601744,"Cruising Areas","TRUE"
"15140","4050","Manhattan Square Park","","","Cruising Areas","Cruisy Area","Rochester","NY",1985,43.153475,-77.601744,"Cruising Areas","TRUE"
"15141","1877","Manhole","(Disco)","425 Central Ave.","Bars/Clubs","(YC),(D)","Albany","NY",1981,42.6678691,-73.7757173,"Bars","FALSE"
"15202","2021","Marie's Crisis","(Downstairs)(Bingo) at Sheridan Sq.","59 Grove St.","Bars/Clubs","","Greenwich Village","NY",1981,40.7332382,-74.0033971,"Bars","FALSE"
"15203","3266","Marie's Crisis","(Downstairs) (Bingo)","59 Grove St. at Sheridan Sq.","Bars/Clubs","","Greenwich Village","NY",1982,40.733238,-74.003397,"Bars","FALSE"
"15204","3555","Marie's Crisis","(Downstairs)(Bingo) at Sheridan Sq.","59 Grove St.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1983,40.7332382,-74.0033971,"Bars","FALSE"
"15205","3549","Marie's Crisis","(Downstairs)(Bingo) at Sheridan Sq.","59 Grove St.","Bars/Clubs","","Greenwich Village & Chelsea","NY",1983,40.7332382,-74.0033971,"Bars","FALSE"
"15206","3607","Marie's Crisis","(Downstairs) (Bingo)","59 Grove St. at Sheridan Sq.","Bars/Clubs","(E)","Greenwich Village","NY",1984,40.733238,-74.003397,"Bars","FALSE"
"15226","3492","Mark","(Some L)(Disco)","262 Portion Rd.","Restaurant,Bars/Clubs","(L),(R),(D),(*)","Lake Ronkonkoma, L.I.","NY",1983,40.8273434,-73.10185,"Bars","FALSE"
